hash,intro,Parent,parents,parent,pf1,pf2,pf3,Child,children,child,cf1,cf2,cf3,v1,v2,v3,cf4,low,high
1,Your personal task is to develop a system of modules and students taking these modules.,Module,modules,module,id,title,description,Student,students,student,name,country,program,Computer Science,Creative Computing,Software Engineering,hours,0,40
2,Your personal task is to develop a system of TV channels and shows running on these channels.,Channel,channels,channel,id,name,topic,Show,shows,show,title,producer,category,Comedy,Documentary,Drama,episodes,1,24
3,Your personal task is to develop a system of libraries and books that these libraries hold.,Library,libraries,library,id,name,address,Book,books,book,title,author,publisher,Springer,IEEE,ACM,pages,5,1000
4,Your personal task is to develop a system of shops and the products these have in stock.,Shop,shops,shop,id,chain,address,Product,products,product,name,description,shelf,Food,Decoration,Tools,stock,0,500
5,Your personal task is to develop a system of hotels and the rooms inside these hotels.,Hotel,hotels,hotel,id,name,description,Room,rooms,room,name,description,category,suite,penthouse,simple,guests,1,12
6,Your personal task is to develop a system of managers and employees.,Manager,managers,manager,id,name,title,Employee,employees,employee,name,job,salutation,Hi,Hello,Good Day,vacation,0,25
7,Your personal task is to develop a system of food dishes and their ingredients.,Dish,dishes,dish,id,title,country,Ingredient,ingredients,ingredient,name,allergies,unit,spoon,gram,kilo,amount,1,200
8,Your personal task is to develop a system of tutors and details about their tutees.,Tutor,tutors,tutor,id,academic,department,Tutee,tutees,tutee,id,studies,hobbies,soccer,football,futsal,age,18,65
9,Your personal task is to develop a system of movies and details about their actors.,Movie,movies,movie,id,title,city,Actor,actors,actor,surname,firstName,language,English,German,Spanish,age,1,120
10,Your personal task is to develop a system of modules and students taking these modules.,Module,modules,module,id,title,description,Student,students,student,name,email,program,Computer Science,Creative Computing,Software Engineering,hours,4,35
11,Your personal task is to develop a system of modules and students taking these modules.,Module,modules,module,id,title,content,Student,students,student,name,skype,program,Computer Science,Creative Computing,Software Engineering,hours,2,60
12,Your personal task is to develop a system of modules and students taking these modules.,Module,modules,module,id,title,convenor,Student,students,student,name,facebook,program,Computer Science,Creative Computing,Software Engineering,hours,0,30
13,Your personal task is to develop a system of TV channels and shows running on these channels.,Channel,channels,channel,id,name,description,Show,shows,show,title,star,category,Comedy,Documentary,Drama,episodes,1,18
14,Your personal task is to develop a system of TV channels and shows running on these channels.,Channel,channels,channel,id,name,content,Show,shows,show,title,actors,category,Comedy,Documentary,Drama,episodes,5,8
15,Your personal task is to develop a system of TV channels and shows running on these channels.,Channel,channels,channel,id,name,code,Show,shows,show,title,author,category,Comedy,Documentary,Drama,episodes,3,12
16,Your personal task is to develop a system of libraries and books that these libraries hold.,Library,libraries,library,id,name,location,Book,books,book,summary,author,publisher,Springer,IEEE,ACM,pages,5,1000
17,Your personal task is to develop a system of libraries and books that these libraries hold.,Library,libraries,library,id,name,organization,Book,books,book,recommendation,author,publisher,Springer,IEEE,ACM,pages,10,260
18,Your personal task is to develop a system of libraries and books that these libraries hold.,Library,libraries,library,id,name,description,Book,books,book,title,recommendation,publisher,Springer,IEEE,ACM,pages,25,800
19,Your personal task is to develop a system of shops and the products these have in stock.,Shop,shops,shop,id,chain,branch,Product,products,product,ingredients,description,shelf,Food,Decoration,Tools,stock,0,500
20,Your personal task is to develop a system of shops and the products these have in stock.,Shop,shops,shop,id,owner,address,Product,products,product,name,information,shelf,Food,Decoration,Tools,stock,10,200
21,Your personal task is to develop a system of shops and the products these have in stock.,Shop,shops,shop,id,chain,location,Product,products,product,identifier,description,shelf,Food,Decoration,Tools,stock,5,100
22,Your personal task is to develop a system of hotels and the rooms inside these hotels.,Hotel,hotels,hotel,id,chain,description,Room,rooms,room,name,location,category,suite,penthouse,simple,guests,1,12
23,Your personal task is to develop a system of hotels and the rooms inside these hotels.,Hotel,hotels,hotel,id,name,location,Room,rooms,room,name,history,category,suite,penthouse,simple,guests,2,5
24,Your personal task is to develop a system of hotels and the rooms inside these hotels.,Hotel,hotels,hotel,id,name,address,Room,rooms,room,name,capacity,category,suite,penthouse,simple,guests,6,20
25,Your personal task is to develop a system of managers and employees.,Manager,managers,manager,id,name,branch,Employee,employees,employee,name,rank,salutation,Hi,Hello,Good Day,vacation,5,365
26,Your personal task is to develop a system of managers and employees.,Manager,managers,manager,id,name,unit,Employee,employees,employee,name,information,salutation,Hi,Hello,Good Day,vacation,10,32
27,Your personal task is to develop a system of managers and employees.,Manager,managers,manager,id,name,group,Employee,employees,employee,name,nationality,salutation,Hi,Hello,Good Day,vacation,5,20
28,Your personal task is to develop a system of food dishes and their ingredients.,Dish,dishes,dish,id,title,description,Ingredient,ingredients,ingredient,name,description,unit,spoon,gram,kilo,amount,10,200
29,Your personal task is to develop a system of food dishes and their ingredients.,Dish,dishes,dish,id,title,link,Ingredient,ingredients,ingredient,name,recommendation,unit,spoon,gram,kilo,amount,0,20
30,Your personal task is to develop a system of food dishes and their ingredients.,Dish,dishes,dish,id,title,cuisine,Ingredient,ingredients,ingredient,identifier,allergies,unit,spoon,gram,kilo,amount,2,64
31,Your personal task is to develop a system of tutors and details about their tutees.,Tutor,tutors,tutor,id,lecturer,department,Tutee,tutees,tutee,id,program,hobbies,soccer,football,futsal,age,10,45
32,Your personal task is to develop a system of tutors and details about their tutees.,Tutor,tutors,tutor,id,name,department,Tutee,tutees,tutee,id,username,hobbies,soccer,football,futsal,age,0,10
33,Your personal task is to develop a system of tutors and details about their tutees.,Tutor,tutors,tutor,id,academic,subject,Tutee,tutees,tutee,id,interests,hobbies,soccer,football,futsal,age,5,70
34,Your personal task is to develop a system of movies and details about their actors.,Movie,movies,movie,id,title,country,Actor,actors,actor,name,bio,language,English,German,Spanish,age,1,120
35,Your personal task is to develop a system of movies and details about their actors.,Movie,movies,movie,id,title,location,Actor,actors,actor,name,experience,language,English,German,Spanish,age,1,120
36,Your personal task is to develop a system of movies and details about their actors.,Movie,movies,movie,id,title,setting,Actor,actors,actor,name,agent,language,English,German,Spanish,age,1,120
